category_truth,text
Compensation & Payroll,"Hi there, reaching out about the following. I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate. Let me know if you need anything else from me."
Training & Resources,"Hey, wanted to flag something. the resource library doesn't have a template for the mid-program check-in I'm supposed to run with clients. Let me know if you need anything else from me."
Training & Resources,"Hi team, hoping someone can help. I'd like to request a training session on the new tribe-matching framework since it's changed since I onboarded. Thanks in advance for looking into this."
Platform / Technical,"Hi there, reaching out about the following. two-factor authentication isn't sending me a code, so I've been locked out of my dashboard since this morning. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi, quick one for you — my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Happy to hop on a call if that's easier."
Training & Resources,"Hi, could someone take a look at this? can someone point me to updated materials on running the reciprocal-referral obligation with a new circle? Happy to hop on a call if that's easier."
Platform / Technical,"Hi team, hoping someone can help. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi team, hoping someone can help. I need to swap two client slots this week due to a personal scheduling conflict, but the portal doesn't have a self-serve option for that. Let me know if you need anything else from me."
Training & Resources,"Hello, I need some help with a situation. the intake script we're supposed to use hasn't been updated to reflect the new question set — can this get fixed? Thanks in advance for looking into this."
HR / Interpersonal,"Hello, I need some help with a situation. I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it."
Compensation & Payroll,"Hi there, reaching out about the following. I submitted a reimbursement request for materials I bought for a group workshop three weeks ago and it still hasn't been processed."
Compensation & Payroll,"Hello, I need some help with a situation. my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened? Thanks in advance for looking into this."
Client Safety / Escalation,"Hi, could someone take a look at this? I'm worried about a client's safety after their partner showed up unannounced during our video session. I want to flag this before it happens again. Appreciate any help you can give here."
Scheduling & Caseload,"Hi, quick one for you — a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why? Appreciate any help you can give here."
HR / Interpersonal,"Hi, quick one for you — I want to raise a concern about a colleague's conduct during our last team meeting — it felt unprofessional. Let me know if you need anything else from me."
Client Safety / Escalation,"Hi, sorry to bug you, but I need guidance on this. a member of my [PROGRAM] circle, [CLIENT ID], said something during the group call that made another member visibly uncomfortable — bordering on a boundary violation. I paused the call and want to escalate before the next session."
Credentialing & Compliance,"Hi team, hoping someone can help. I have an ethics question about seeing two clients who know each other personally — want guidance before proceeding. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi team, hoping someone can help. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. Appreciate any help you can give here."
General / Other,"Hi, could someone take a look at this? just checking in with a general question about company-wide policy on client gift acceptance. Please let me know next steps."
Platform / Technical,"Hello, I need some help with a situation. I'm getting a persistent error message when I try to close out a completed session in the system."
Client Safety / Escalation,"Hi team, hoping someone can help. during my session with [CLIENT ID] they disclosed an incident of ongoing domestic violence at home. I want to make sure we're following the right mandatory reporting protocol. Please let me know next steps."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. I'm worried about a client's safety after their partner showed up unannounced during our video session. I want to flag this before it happens again. Happy to hop on a call if that's easier."
Client Safety / Escalation,"Hi, could someone take a look at this? I have a client disclosing what sounds like active substance relapse combined with talk of self-harm. I need an urgent clinical consult before I go back into session with them."
Platform / Technical,"Hello, I need some help with a situation. two-factor authentication isn't sending me a code, so I've been locked out of my dashboard since this morning. Let me know if you need anything else from me."
Compensation & Payroll,"Hi, quick one for you — my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Appreciate any help you can give here."
Training & Resources,"Hi team, hoping someone can help. is there a refresher training available on the new confidentiality policy that went out last month?"
Scheduling & Caseload,"Hi, could someone take a look at this? my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved? Happy to hop on a call if that's easier."
HR / Interpersonal,"Hi there, reaching out about the following. I disagree with the feedback I received in my last review and would like to discuss it with someone in HR. This is fairly time-sensitive, so any help is appreciated."
Compensation & Payroll,"Hi, could someone take a look at this? I was told I'd get the caseload bonus this quarter but it's not reflected in my latest pay statement. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hey, wanted to flag something. I need to swap two client slots this week due to a personal scheduling conflict, but the portal doesn't have a self-serve option for that. Appreciate any help you can give here."
Scheduling & Caseload,"Hi there, reaching out about the following. my caseload dashboard is showing a client twice under two different circle groups and it's throwing off my weekly hours count. Thanks in advance for looking into this."
Compensation & Payroll,"Hello, I need some help with a situation. my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened? Let me know if you need anything else from me."
Compensation & Payroll,"Hi team, hoping someone can help. I think my per-session rate updated incorrectly after my last review — it's showing the old rate on this pay period's statement. Appreciate any help you can give here."
HR / Interpersonal,"Hi, could someone take a look at this? communication has broken down between me and my team lead and I'd like a mediated conversation. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi there, reaching out about the following. my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hi, could someone take a look at this? my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system. Thanks in advance for looking into this."
Training & Resources,"Hi team, hoping someone can help. I'd like more guidance on best practices for handling conflict between two circle members during a group call. Let me know if you need anything else from me."
Credentialing & Compliance,"Hello, I need some help with a situation. I need clarification on the disclosure requirements before I can start seeing minors under our adolescent program. Appreciate any help you can give here."
Credentialing & Compliance,"Hi, quick one for you — I'm not seeing my updated certification reflected in my practitioner profile even though I submitted it last month."
Scheduling & Caseload,"Hey, wanted to flag something. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why?"
Credentialing & Compliance,"Hey, wanted to flag something. I need clarification on the disclosure requirements before I can start seeing minors under our adolescent program. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hey, wanted to flag something. I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate. Thanks in advance for looking into this."
HR / Interpersonal,"Hello, I need some help with a situation. I had a disagreement with another coach over a client referral and I'd like some help mediating it. This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hi, could someone take a look at this? the mobile app keeps crashing whenever I try to open a client's file from my phone. Please let me know next steps."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. I have a client who's a repeated no-show and I want to understand our policy on when to pause or close out their case. This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hello, I need some help with a situation. I can't upload my updated intake form template — the file keeps failing to attach in the resources section. Let me know if you need anything else from me."
Training & Resources,"Hi, quick one for you — the onboarding materials I was given are missing the section on circle-facilitation protocols — can I get the updated version? Happy to hop on a call if that's easier."
Platform / Technical,"Hi, could someone take a look at this? I can't get my session notes to save — I've tried three times and the page just spins and then times out."
Credentialing & Compliance,"Hi, sorry to bug you, but I need guidance on this. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged. Thanks in advance for looking into this."
HR / Interpersonal,"Hi, could someone take a look at this? I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hey, wanted to flag something. communication has broken down between me and my team lead and I'd like a mediated conversation. Let me know if you need anything else from me."
Platform / Technical,"Hi there, reaching out about the following. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Appreciate any help you can give here."
General / Other,"Hey, wanted to flag something. I'm not sure who owns this, but I wanted to suggest an addition to the practitioner resource library."
General / Other,"Hello, I need some help with a situation. not urgent, but I wanted to ask a general question about how holiday coverage works across the team. Please let me know next steps."
Scheduling & Caseload,"Hey, wanted to flag something. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it. This is fairly time-sensitive, so any help is appreciated."
Training & Resources,"Hey, I ran into an issue and wanted to raise it. the escalation procedure doc referenced in training is out of date and doesn't match what's actually in the portal anymore."
Platform / Technical,"Hey, wanted to flag something. I'm getting a persistent error message when I try to close out a completed session in the system. Let me know if you need anything else from me."
General / Other,"Hi team, hoping someone can help. wanted to pass along some positive feedback about the new circle-matching process, for whatever team should see it. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved?"
General / Other,"Hi, could someone take a look at this? just a general suggestion — it'd be great if the dashboard showed upcoming renewal dates more clearly. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hey, wanted to flag something. I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout. Thanks in advance for looking into this."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. I can't get my session notes to save — I've tried three times and the page just spins and then times out. Let me know if you need anything else from me."
HR / Interpersonal,"Hi there, reaching out about the following. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. I have back-to-back sessions with zero buffer for the rest of this week and it's affecting my ability to write notes properly. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hello, I need some help with a situation. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved? Happy to hop on a call if that's easier."
Platform / Technical,"Hi, quick one for you — I can't upload my updated intake form template — the file keeps failing to attach in the resources section. Appreciate any help you can give here."
Client Safety / Escalation,"Hello, I need some help with a situation. [CLIENT ID] asked to connect with me outside of the platform and made a comment that felt like a boundary-crossing overture. I did not agree, but I want this on record and want guidance on how to respond. This is fairly time-sensitive, so any help is appreciated."
Credentialing & Compliance,"Hey, I ran into an issue and wanted to raise it. I'm not seeing my updated certification reflected in my practitioner profile even though I submitted it last month."
Training & Resources,"Hi, sorry to bug you, but I need guidance on this. can someone point me to updated materials on running the reciprocal-referral obligation with a new circle? Appreciate any help you can give here."
Training & Resources,"Hello, I need some help with a situation. can someone point me to updated materials on running the reciprocal-referral obligation with a new circle? Happy to hop on a call if that's easier."
Credentialing & Compliance,"Hi, sorry to bug you, but I need guidance on this. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged. Appreciate any help you can give here."
Compensation & Payroll,"Hello, I need some help with a situation. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Thanks in advance for looking into this."
Training & Resources,"Hi there, reaching out about the following. can someone point me to updated materials on running the reciprocal-referral obligation with a new circle?"
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. one of my clients has stopped responding for over a week after a session where they mentioned feeling hopeless. I'm concerned and want someone from the clinical safety team to weigh in on next steps."
Scheduling & Caseload,"Hi there, reaching out about the following. I have back-to-back sessions with zero buffer for the rest of this week and it's affecting my ability to write notes properly."
Credentialing & Compliance,"Hi there, reaching out about the following. I'm not seeing my updated certification reflected in my practitioner profile even though I submitted it last month. Appreciate any help you can give here."
Training & Resources,"Hey, wanted to flag something. the escalation procedure doc referenced in training is out of date and doesn't match what's actually in the portal anymore. Please let me know next steps."
Client Safety / Escalation,"Hi, quick one for you — during today's intake, a new client described a level of risk that's above what I'm credentialed to handle solo. I need this escalated to a supervising clinician today."
HR / Interpersonal,"Hi, quick one for you — I want to raise a concern about a colleague's conduct during our last team meeting — it felt unprofessional."
Scheduling & Caseload,"Hi there, reaching out about the following. I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout."
Credentialing & Compliance,"Hi there, reaching out about the following. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged. Appreciate any help you can give here."
Compensation & Payroll,"Hi team, hoping someone can help. my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened? This is fairly time-sensitive, so any help is appreciated."
Credentialing & Compliance,"Hi, sorry to bug you, but I need guidance on this. my malpractice insurance documentation on file looks outdated — can someone confirm if it needs to be refreshed? Thanks in advance for looking into this."
HR / Interpersonal,"Hey, I ran into an issue and wanted to raise it. there's been some friction in my team's group chat that I think needs a manager to step in on. Let me know if you need anything else from me."
Scheduling & Caseload,"Hello, I need some help with a situation. my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Appreciate any help you can give here."
Scheduling & Caseload,"Hi, quick one for you — I'd like to formally request a reduction in weekly session load — I'm at capacity and it's starting to affect quality of care."
Platform / Technical,"Hi team, hoping someone can help. I can't upload my updated intake form template — the file keeps failing to attach in the resources section. Please let me know next steps."
Training & Resources,"Hey, wanted to flag something. I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this? Appreciate any help you can give here."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. I can't upload my updated intake form template — the file keeps failing to attach in the resources section. Let me know if you need anything else from me."
Compensation & Payroll,"Hi team, hoping someone can help. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Please let me know next steps."
HR / Interpersonal,"Hello, I need some help with a situation. I felt excluded from a decision that affected my caseload and want to understand how those calls get made. Please let me know next steps."
HR / Interpersonal,"Hi, sorry to bug you, but I need guidance on this. I want to raise a concern about a colleague's conduct during our last team meeting — it felt unprofessional."
HR / Interpersonal,"Hi team, hoping someone can help. I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it."
Compensation & Payroll,"Hi there, reaching out about the following. I need to update my banking information for payroll but the portal keeps giving me an error when I try to save changes."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. I'm not receiving session reminder notifications anymore, and I've already missed logging in on time twice this week because of it. Let me know if you need anything else from me."
Credentialing & Compliance,"Hi, could someone take a look at this? I want to confirm whether my recent conference attendance counts toward this cycle's CEU requirement. Let me know if you need anything else from me."
Platform / Technical,"Hi team, hoping someone can help. the audio kept cutting out during today's session and I couldn't tell if it was on my end or the platform's."
Scheduling & Caseload,"Hi there, reaching out about the following. the system auto-assigned me a new client outside my specialty area — can this be reassigned to someone better suited? Let me know if you need anything else from me."
Training & Resources,"Hi team, hoping someone can help. I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this? This is fairly time-sensitive, so any help is appreciated."
Credentialing & Compliance,"Hi, could someone take a look at this? I need to submit my updated license renewal documentation but I'm not sure which portal section that goes in. Appreciate any help you can give here."
Platform / Technical,"Hi there, reaching out about the following. I can't upload my updated intake form template — the file keeps failing to attach in the resources section. Please let me know next steps."
Scheduling & Caseload,"Hi there, reaching out about the following. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. Appreciate any help you can give here."
Scheduling & Caseload,"Hi, quick one for you — I'd like to formally request a reduction in weekly session load — I'm at capacity and it's starting to affect quality of care. Happy to hop on a call if that's easier."
Platform / Technical,"Hey, wanted to flag something. two-factor authentication isn't sending me a code, so I've been locked out of my dashboard since this morning."
Compensation & Payroll,"Hello, I need some help with a situation. my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system. Thanks in advance for looking into this."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. the platform logged me out mid-session and I had to scramble to get back in while my client waited."
Scheduling & Caseload,"Hello, I need some help with a situation. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it."
General / Other,"Hi, quick one for you — I wasn't sure which queue this belongs to, but I wanted to share some feedback on the new client intake flow. This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Happy to hop on a call if that's easier."
Credentialing & Compliance,"Hey, I ran into an issue and wanted to raise it. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged. Happy to hop on a call if that's easier."
Training & Resources,"Hi there, reaching out about the following. the intake script we're supposed to use hasn't been updated to reflect the new question set — can this get fixed? Thanks in advance for looking into this."
Credentialing & Compliance,"Hey, wanted to flag something. my malpractice insurance documentation on file looks outdated — can someone confirm if it needs to be refreshed? Thanks in advance for looking into this."
Credentialing & Compliance,"Hi there, reaching out about the following. my malpractice insurance documentation on file looks outdated — can someone confirm if it needs to be refreshed? Please let me know next steps."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. I need to update my banking information for payroll but the portal keeps giving me an error when I try to save changes. Please let me know next steps."
Client Safety / Escalation,"Hi, could someone take a look at this? a client mentioned they have access to a firearm and made a comment that concerned me enough that I want a second clinical opinion before our next scheduled session. Thanks in advance for looking into this."
Platform / Technical,"Hello, I need some help with a situation. the platform logged me out mid-session and I had to scramble to get back in while my client waited. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hey, I ran into an issue and wanted to raise it. I was told I'd get the caseload bonus this quarter but it's not reflected in my latest pay statement. Let me know if you need anything else from me."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. the platform logged me out mid-session and I had to scramble to get back in while my client waited. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi, could someone take a look at this? I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why? Please let me know next steps."
Scheduling & Caseload,"Hi team, hoping someone can help. I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout. Let me know if you need anything else from me."
Scheduling & Caseload,"Hi, quick one for you — I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hi there, reaching out about the following. I want to raise a concern about a colleague's conduct during our last team meeting — it felt unprofessional."
HR / Interpersonal,"Hey, I ran into an issue and wanted to raise it. there's been some friction in my team's group chat that I think needs a manager to step in on."
Compensation & Payroll,"Hi, could someone take a look at this? I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate. Happy to hop on a call if that's easier."
Training & Resources,"Hey, I ran into an issue and wanted to raise it. the escalation procedure doc referenced in training is out of date and doesn't match what's actually in the portal anymore. Thanks in advance for looking into this."
Compensation & Payroll,"Hello, I need some help with a situation. I think my per-session rate updated incorrectly after my last review — it's showing the old rate on this pay period's statement."
HR / Interpersonal,"Hi there, reaching out about the following. I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. during today's intake, a new client described a level of risk that's above what I'm credentialed to handle solo. I need this escalated to a supervising clinician today."
Compensation & Payroll,"Hi, could someone take a look at this? I think my per-session rate updated incorrectly after my last review — it's showing the old rate on this pay period's statement. Thanks in advance for looking into this."
Platform / Technical,"Hi there, reaching out about the following. I logged in this morning and the dashboard is showing someone else's client list instead of mine."
Compensation & Payroll,"Hi team, hoping someone can help. my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened? Thanks in advance for looking into this."
HR / Interpersonal,"Hi there, reaching out about the following. I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call."
Platform / Technical,"Hey, wanted to flag something. the mobile app keeps crashing whenever I try to open a client's file from my phone."
Training & Resources,"Hi there, reaching out about the following. the escalation procedure doc referenced in training is out of date and doesn't match what's actually in the portal anymore. Let me know if you need anything else from me."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. a member of my [PROGRAM] circle, [CLIENT ID], said something during the group call that made another member visibly uncomfortable — bordering on a boundary violation. I paused the call and want to escalate before the next session."
Compensation & Payroll,"Hi, could someone take a look at this? my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system. Let me know if you need anything else from me."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. the audio kept cutting out during today's session and I couldn't tell if it was on my end or the platform's. Thanks in advance for looking into this."
Platform / Technical,"Hi, could someone take a look at this? I logged in this morning and the dashboard is showing someone else's client list instead of mine. Happy to hop on a call if that's easier."
HR / Interpersonal,"Hi, quick one for you — I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. during my session with [CLIENT ID] they disclosed an incident of ongoing domestic violence at home. I want to make sure we're following the right mandatory reporting protocol. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hi team, hoping someone can help. I disagree with the feedback I received in my last review and would like to discuss it with someone in HR. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hello, I need some help with a situation. my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Thanks in advance for looking into this."
Platform / Technical,"Hi, quick one for you — the client-facing app is displaying my old profile photo and outdated availability even though I updated both weeks ago. Let me know if you need anything else from me."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. I was told I'd get the caseload bonus this quarter but it's not reflected in my latest pay statement. Let me know if you need anything else from me."
Client Safety / Escalation,"Hi, quick one for you — during my session with [CLIENT ID] they disclosed an incident of ongoing domestic violence at home. I want to make sure we're following the right mandatory reporting protocol."
Platform / Technical,"Hey, wanted to flag something. I'm getting a persistent error message when I try to close out a completed session in the system. Happy to hop on a call if that's easier."
HR / Interpersonal,"Hi there, reaching out about the following. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. Thanks in advance for looking into this."
HR / Interpersonal,"Hi team, hoping someone can help. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. Let me know if you need anything else from me."
HR / Interpersonal,"Hi, sorry to bug you, but I need guidance on this. I felt excluded from a decision that affected my caseload and want to understand how those calls get made. Let me know if you need anything else from me."
Credentialing & Compliance,"Hi team, hoping someone can help. can someone confirm the required cadence for clinical supervision check-ins under my current credential level?"
General / Other,"Hi, quick one for you — just checking in with a general question about company-wide policy on client gift acceptance. Please let me know next steps."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hi, quick one for you — communication has broken down between me and my team lead and I'd like a mediated conversation."
Platform / Technical,"Hi, quick one for you — I'm getting a persistent error message when I try to close out a completed session in the system. Happy to hop on a call if that's easier."
HR / Interpersonal,"Hi team, hoping someone can help. communication has broken down between me and my team lead and I'd like a mediated conversation."
Credentialing & Compliance,"Hi, could someone take a look at this? I want to confirm whether my recent conference attendance counts toward this cycle's CEU requirement. This is fairly time-sensitive, so any help is appreciated."
Compensation & Payroll,"Hi there, reaching out about the following. my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system."
Scheduling & Caseload,"Hi there, reaching out about the following. my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Appreciate any help you can give here."
Client Safety / Escalation,"Hey, wanted to flag something. [CLIENT ID] asked to connect with me outside of the platform and made a comment that felt like a boundary-crossing overture. I did not agree, but I want this on record and want guidance on how to respond. Thanks in advance for looking into this."
Compensation & Payroll,"Hi, could someone take a look at this? my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction?"
Scheduling & Caseload,"Hi team, hoping someone can help. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it. This is fairly time-sensitive, so any help is appreciated."
General / Other,"Hi there, reaching out about the following. I have a question that doesn't seem to fit any specific category, about how referrals get counted toward caseload targets."
Scheduling & Caseload,"Hey, wanted to flag something. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved?"
Compensation & Payroll,"Hi team, hoping someone can help. I noticed my last payment is missing three sessions from the week of [TICKET ID] — the count on my dashboard doesn't match what I actually ran. Thanks in advance for looking into this."
Compensation & Payroll,"Hi there, reaching out about the following. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Let me know if you need anything else from me."
Training & Resources,"Hey, I ran into an issue and wanted to raise it. I'd like to request a training session on the new tribe-matching framework since it's changed since I onboarded. Please let me know next steps."
Platform / Technical,"Hey, wanted to flag something. I can't get my session notes to save — I've tried three times and the page just spins and then times out. Please let me know next steps."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. my caseload dashboard is showing a client twice under two different circle groups and it's throwing off my weekly hours count. Appreciate any help you can give here."
General / Other,"Hi team, hoping someone can help. wanted to pass along some positive feedback about the new circle-matching process, for whatever team should see it. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hi team, hoping someone can help. during today's intake, a new client described a level of risk that's above what I'm credentialed to handle solo. I need this escalated to a supervising clinician today. Let me know if you need anything else from me."
Credentialing & Compliance,"Hi, sorry to bug you, but I need guidance on this. my malpractice insurance documentation on file looks outdated — can someone confirm if it needs to be refreshed? Let me know if you need anything else from me."
HR / Interpersonal,"Hey, wanted to flag something. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation."
Training & Resources,"Hi there, reaching out about the following. the onboarding materials I was given are missing the section on circle-facilitation protocols — can I get the updated version?"
HR / Interpersonal,"Hi, could someone take a look at this? I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call. Thanks in advance for looking into this."
Platform / Technical,"Hey, wanted to flag something. the platform logged me out mid-session and I had to scramble to get back in while my client waited. Thanks in advance for looking into this."
Scheduling & Caseload,"Hey, wanted to flag something. I have back-to-back sessions with zero buffer for the rest of this week and it's affecting my ability to write notes properly."
Scheduling & Caseload,"Hello, I need some help with a situation. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why?"
Platform / Technical,"Hi, could someone take a look at this? the mobile app keeps crashing whenever I try to open a client's file from my phone. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hi there, reaching out about the following. I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate. Thanks in advance for looking into this."
Compensation & Payroll,"Hi, could someone take a look at this? my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system."
Compensation & Payroll,"Hi, could someone take a look at this? I noticed my last payment is missing three sessions from the week of [TICKET ID] — the count on my dashboard doesn't match what I actually ran. Let me know if you need anything else from me."
Platform / Technical,"Hi, could someone take a look at this? two-factor authentication isn't sending me a code, so I've been locked out of my dashboard since this morning. Please let me know next steps."
General / Other,"Hello, I need some help with a situation. I have a question that doesn't seem to fit any specific category, about how referrals get counted toward caseload targets. Thanks in advance for looking into this."
Training & Resources,"Hey, wanted to flag something. is there a refresher training available on the new confidentiality policy that went out last month?"
General / Other,"Hi, could someone take a look at this? I'm not sure who owns this, but I wanted to suggest an addition to the practitioner resource library. Let me know if you need anything else from me."
HR / Interpersonal,"Hi, sorry to bug you, but I need guidance on this. I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hey, wanted to flag something. I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call. Happy to hop on a call if that's easier."
Credentialing & Compliance,"Hi, quick one for you — I need to submit my updated license renewal documentation but I'm not sure which portal section that goes in. Thanks in advance for looking into this."
Credentialing & Compliance,"Hey, wanted to flag something. I want to confirm whether my recent conference attendance counts toward this cycle's CEU requirement. Thanks in advance for looking into this."
General / Other,"Hi there, reaching out about the following. I'm not sure who owns this, but I wanted to suggest an addition to the practitioner resource library. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi there, reaching out about the following. the system auto-assigned me a new client outside my specialty area — can this be reassigned to someone better suited?"
Training & Resources,"Hi team, hoping someone can help. the resource library doesn't have a template for the mid-program check-in I'm supposed to run with clients. Let me know if you need anything else from me."
Scheduling & Caseload,"Hi team, hoping someone can help. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it."
Credentialing & Compliance,"Hi there, reaching out about the following. I have an ethics question about seeing two clients who know each other personally — want guidance before proceeding. Let me know if you need anything else from me."
Training & Resources,"Hi, could someone take a look at this? I never received the welcome packet that's supposed to include the crisis-response quick reference sheet."
Platform / Technical,"Hi, quick one for you — the mobile app keeps crashing whenever I try to open a client's file from my phone. Appreciate any help you can give here."
